IT8.7/2
ORIGINATOR "Wolf Faust"
DESCRIPTOR "L* a* b* Batch average data (light D65, viewing angle 2)"
MANUFACTURER "Wolf Faust - http://www.coloraid.de"
CREATED "January 07, 2002"
PROD_DATE "2001:12"
SERIAL "DIN A4  R012020"
MATERIAL "Kodak Professional Digital 3 - Non-Glossy"
NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID   XYZ_X   XYZ_Y   XYZ_Z          LAB_L   LAB_A   LAB_B          LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS 288
BEGIN_DATA
A1           3.07    2.67    2.50          18.64    9.19   -2.55           9.54   344.45
A2           3.75    2.59    2.06          18.32   21.51    0.68          21.52    1.81
A3           5.27    3.20    2.28          20.81   31.07    2.97          31.22    5.46
A4           3.91    2.50    1.90          17.90   25.66    1.56          25.70    3.48
A5          11.41   10.14    9.66          38.08   12.34   -4.58          13.16   339.63
A6          13.57   10.23    8.27          38.26   26.16    0.67          26.17    1.46
A7          15.95   10.36    7.13          38.47   39.70    5.53          40.08    7.93
A8          18.98   10.02    5.91          37.86   58.65    9.83          59.47    9.51
A9          39.41   39.30   39.94          68.97    4.84  -10.54          11.60   294.71
A10         41.39   39.30   38.54          68.97   10.96   -8.68          13.98   321.61
A11         43.43   39.22   36.99          68.91   17.27   -6.67          18.52   338.88
A12         46.14   39.27   35.18          68.94   24.95   -4.07          25.28   350.75
A13         78.55   83.30   90.92          93.14   -3.49  -18.39          18.72   259.27
A14         77.08   80.48   90.09          91.90   -1.06  -19.90          19.92   266.96
A15         77.89   82.91   87.50          92.98   -4.07  -16.05          16.56   255.76
A16         76.15   79.65   86.50          91.53   -1.32  -17.77          17.81   265.76
A17         76.21   79.74   86.51          91.57   -1.37  -17.71          17.76   265.57
A18         77.94   83.00   87.31          93.02   -4.13  -15.84          16.36   255.37
A19         77.02   80.21   89.95          91.78   -0.64  -20.01          20.02   268.18
A20          1.03    0.92    0.90           8.29    5.44   -2.40           5.96   336.19
A21          4.26    2.80    0.95          19.24   24.84   15.55          29.31   32.05
A22          8.77    5.17    1.02          27.21   38.57   28.26          47.81   36.23
B1           2.94    2.69    1.97          18.75    6.27    2.34           6.69   20.49
B2           3.37    2.63    1.23          18.52   14.65   10.36          17.94   35.24
B3           3.54    2.56    1.02          18.22   18.59   12.74          22.54   34.42
B4           3.92    2.79    1.02          19.18   20.30   14.52          24.96   35.57
B5          11.32   10.09    7.03          38.00   12.07    5.11          13.10   22.95
